,Episode,Epsilon,Reward,Mean_Reward,Time
268,268.0,0.2609670281126685,66.53559805949186,-59.980336911174064,500.0
269,269.0,0.25966219297210513,-130.6256915733253,-58.605990566707085,257.0
270,270.0,0.2583638820072446,26.72961697912331,-55.08482837291398,500.0
271,271.0,0.2570720625972084,7.384369508366349,-53.22637954041885,500.0
272,272.0,0.25578670228422234,-1.2699131600875138,-51.76960876159537,500.0
273,273.0,0.25450776877280124,14.273439727888048,-49.46050663416005,500.0
274,274.0,0.2532352299289372,25.97670819795083,-49.25168070025367,500.0
275,275.0,0.2519690537792925,-51.30012289675661,-49.16292833834652,255.0
276,276.0,0.2507092085103961,60.48812938492289,-47.55236712487685,500.0
277,277.0,0.2494556624678441,80.6205153243678,-46.91995771681032,500.0
278,278.0,0.24820838415550486,-8.690073641391924,-46.64785958333874,500.0
279,279.0,0.24696734223472733,17.269524720833296,-43.79626777903747,500.0
280,280.0,0.2457325055235537,32.19255227255247,-42.91928571141584,500.0
281,281.0,0.24450384299593592,10.808129637406187,-41.39966538043853,500.0
282,282.0,0.24328132378095624,-21.115518795817962,-40.60192706460495,500.0
283,283.0,0.24206491716205145,-207.48282044012834,-41.8455980557328,260.0
284,284.0,0.2408545925762412,-7.538723143766025,-41.374250065464075,500.0
285,285.0,0.23965031961336,-20.223450209182364,-39.92208743663944,500.0
286,286.0,0.2384520680152932,3.5598266092510498,-39.56503492341548,500.0
287,287.0,0.23725980767521673,29.457137487370865,-38.94036863773597,500.0
288,288.0,0.23607350863684065,69.74544760067107,-37.88675135811869,500.0
289,289.0,0.23489314109365644,36.412085562544824,-36.50997134048585,500.0
290,290.0,0.23371867538818816,-3.6100772334320617,-36.74720270520109,500.0
291,291.0,0.23255008201124722,46.24388748580247,-34.667738438833936,500.0
292,292.0,0.231387331601191,-42.70152901130432,-34.592426604061366,314.0
293,293.0,0.23023039494318503,-99.33916953792611,-34.931403875620205,468.0
294,294.0,0.2290792429684691,6.89287348535089,-34.24544263117339,334.0
295,295.0,0.22793384675362674,89.70907791119248,-32.74936357171429,500.0
296,296.0,0.22679417751985861,-263.0584085438371,-34.22639477635712,439.0
297,297.0,0.22566020663225933,24.147143811963996,-33.53643008246852,500.0
298,298.0,0.22453190559909803,76.85033285368844,-32.71735095643837,500.0
299,299.0,0.22340924607110255,62.74426757921634,-32.66024325388104,500.0
300,300.0,0.22229219984074702,-68.26287195344973,-32.76069075310734,306.0
301,301.0,0.2211807388415433,36.469810448387015,-31.79529538134607,500.0
302,302.0,0.22007483514733558,-18.41077278541908,-31.773213513845977,500.0
303,303.0,0.2189744609715989,49.872483175607826,-30.80283435668822,500.0
304,304.0,0.2178795886667409,16.079030954443866,-30.650348277227817,500.0
305,305.0,0.2167901907234072,9.804644208488359,-29.445730270504765,500.0
306,306.0,0.21570623976979014,18.763136568074145,-29.012136703649322,500.0
307,307.0,0.21462770857094118,38.48174366725725,-28.149217036832646,500.0
308,308.0,0.21355457002808648,41.07855807411055,-26.27435913317444,500.0
309,309.0,0.21248679717794605,14.326423974447986,-25.110245496732677,500.0
310,310.0,0.21142436319205632,9.376050338860086,-24.692053423168794,500.0
311,311.0,0.21036724137609603,127.51635804362022,-22.759213573639975,500.0
312,312.0,0.20931540516921554,-24.039359833337326,-23.090902503955036,500.0
313,313.0,0.20826882814336947,34.50330752950856,-21.9264906191251,287.0
314,314.0,0.20722748400265262,-22.89376174765701,-21.019777151334388,500.0
315,315.0,0.20619134658263935,23.588808285040994,-17.80895244518009,500.0
316,316.0,0.20516038984972615,18.489102602395384,-16.970489213661544,500.0
317,317.0,0.2041345879004775,5.822058194128579,-16.789844447235836,500.0
318,318.0,0.2031139149609751,43.27882670873214,-16.15717317094533,500.0
319,319.0,0.20209834538617025,-25.71025586862635,-16.044768325257408,500.0
320,320.0,0.2010878536592394,6.311040388106054,-15.717626534436924,500.0
321,321.0,0.2000824143909432,0.0882525001719987,-14.768585434616236,500.0
322,322.0,0.19908200231898848,31.59161126224064,-13.34837417695967,500.0
323,323.0,0.19808659230739353,-5.091196830072465,-13.245747125533974,500.0
324,324.0,0.19709615934585656,23.11596076293305,-11.864287137654223,500.0
325,325.0,0.19611067854912728,44.50394985248506,-11.36884641749545,500.0
326,326.0,0.19513012515638165,43.56280179536066,-10.008013229217656,500.0
327,327.0,0.19415447453059972,55.00381775750116,-9.336293985096136,500.0
328,328.0,0.19318370215794672,-4.25922452887441,-8.992338737916498,500.0
329,329.0,0.192217783647157,4.687815689448596,-8.221376621883302,500.0
330,330.0,0.1912566947289212,43.79389708480153,-6.371074518607109,500.0
331,331.0,0.1903004112552766,-45.30567809732767,-6.427155242802647,374.0
332,332.0,0.18934890919900021,30.83382252993852,-5.727383727538839,500.0
333,333.0,0.18840216465300522,6.679261498267741,-4.247891350367012,500.0
334,334.0,0.18746015382974018,-2.782640237865479,-3.567464628587518,500.0
335,335.0,0.1865228530605915,-3.4740712448338,-3.360078130697551,500.0
336,336.0,0.18559023879528855,26.961968192768737,-3.1203508494455092,500.0
337,337.0,0.1846622876013121,25.218664267304852,-2.962623139026029,500.0
338,338.0,0.18373897616330553,-3.3412965783035897,-2.400426435926589,500.0
339,339.0,0.182820281282489,34.9263630814267,-1.5197080343181588,500.0
340,340.0,0.18190617987607657,49.51614367621882,-1.2865146582663614,500.0
341,341.0,0.18099664897669618,36.365567900900224,-0.5857869049925923,500.0
